Semana;Ranking;Autor;Semanas en ranking
4 de junio;5;Peter Attia with Bill Gifford;8
4 de junio;6;Andy Cohen;2
4 de junio;7;Samantha Irby;1
4 de junio;8;Jonathan Eig;1
4 de junio;9;Jennette McCurdy;41
4 de junio;10;Michelle Obama;26
4 de junio;11;Michelle Zauner;61
4 de junio;12;Stephen Vladeck;1
4 de junio;13;;3
4 de junio;14;Simon Sebag Montefiore;1
4 de junio;15;Robin Wall Kimmerer;78
11 de junio;1;Nora Roberts;1
11 de junio;2;Emily Henry;5
11 de junio;3;Colleen Hoover;102
11 de junio;4;Abraham Verghese;4
11 de junio;5;Colleen Hoover;32
11 de junio;6;Rebecca Yarros;4
11 de junio;7;Bonnie Garmus;29
11 de junio;8;Don Bentley;1
11 de junio;9;Carley Fortune;4
11 de junio;10;Barbara Kingsolver;17
11 de junio;11;Colleen Hoover;77
11 de junio;12;Taylor Jenkins Reid;98
11 de junio;13;Laura Dave;46
11 de junio;14;Freida McFadden;1
11 de junio;15;Hannah Grace;2
11 de junio;1;David Grann;78
11 de junio;2;David Grann;6
11 de junio;3;Peter Attia with Bill Gifford;9
11 de junio;4;Bessel van der Kolk;144
11 de junio;5;David Von Drehle;1
11 de junio;6;Jennette McCurdy;42
11 de junio;7;Prince Harry;20
11 de junio;8;Michelle Zauner;62
11 de junio;9;Andy Cohen;3
11 de junio;10;Elise Loehnen;1
11 de junio;11;Jonathan Freedland;2
11 de junio;12;Michelle Obama;27
11 de junio;13;Jamie Loftus;1
11 de junio;14;Robin Wall Kimmerer;79
11 de junio;15;Bell Hooks;48
18 de junio;1;Emily Henry;6
18 de junio;2;Colleen Hoover;103
18 de junio;3;Colleen Hoover;33
18 de junio;4;Abraham Verghese;5
18 de junio;5;Nora Roberts;2
18 de junio;6;Bonnie Garmus;30
18 de junio;7;Colleen Hoover;78
18 de junio;8;Carley Fortune;5
18 de junio;9;Rebecca Yarros;5
18 de junio;10;Hannah Grace;3
18 de junio;11;Barbara Kingsolver;18
18 de junio;12;Taylor Jenkins Reid;99
18 de junio;13;T.J. Newman;1
18 de junio;14;Laura Dave;47
18 de junio;15;Jo Nesbo;1
18 de junio;1;David Grann;7
18 de junio;2;David Grann;79
18 de junio;3;Peter Attia with Bill Gifford;10
18 de junio;4;Bessel van der Kolk;145
18 de junio;5;Jennette McCurdy;43
18 de junio;6;Michelle Zauner;63
18 de junio;7;Prince Harry;21
18 de junio;8;David Von Drehle;2
18 de junio;9;Robin Wall Kimmerer;80
18 de junio;10;Samantha Irby;2
18 de junio;11;Andy Cohen;4
18 de junio;12;Jonathan Eig;2
18 de junio;13;Michelle Obama;28
18 de junio;14;Monica Potts;1
18 de junio;15;David Sedaris;10
25 de junio;1;James Patterson and Brendan DuBois;1
25 de junio;2;Emily Henry;7
25 de junio;3;Colleen Hoover;104
25 de junio;4;Colleen Hoover;34
25 de junio;5;Rebecca Yarros;6
25 de junio;6;Bonnie Garmus;31
25 de junio;7;Abraham Verghese;6
25 de junio;8;Tessa Bailey;1
25 de junio;9;Stuart Woods and Brett Battles;1
25 de junio;10;Mike Maden;1
25 de junio;11;Colleen Hoover;79
25 de junio;12;Hannah Grace;4
25 de junio;13;Nora Roberts;3
25 de junio;14;Lisa See;1
25 de junio;15;Taylor Jenkins Reid;100
25 de junio;1;Elliot Page;1
25 de junio;2;David Grann;8
25 de junio;3;Peter Attia with Bill Gifford;11
25 de junio;4;David Grann;80
25 de junio;5;Bessel van der Kolk;146
25 de junio;6;Jennette McCurdy;44
25 de junio;7;David Von Drehle;3
25 de junio;8;Michelle Zauner;64
25 de junio;9;Jason Chaffetz;1
25 de junio;10;Prince Harry;22
25 de junio;11;Robin Wall Kimmerer;81
25 de junio;12;Maureen Ryan;1
25 de junio;13;Andy Cohen;5
25 de junio;14;Javier Zamora;5
25 de junio;15;David Sedaris;11
2 de julio;1; Elin Hilderbrand;1
2 de julio;2;Ali Hazelwood;1
2 de julio;3;Bonnie Garmus;32
2 de julio;4;Emily Henry;8
2 de julio;5;Colleen Hoover;105
2 de julio;6;Rebecca Yarros;7
2 de julio;7;Hannah Grace;5
2 de julio;8;Colleen Hoover;35
2 de julio;9;Colleen Hoover;80
2 de julio;10;Taylor Jenkins Reid;101
2 de julio;11;James Patterson and Brendan DuBois;2
2 de julio;12;Abraham Verghese;7
2 de julio;13;Ana Huang;1
2 de julio;14;Barbara Kingsolver;19
2 de julio;15;Carley Fortune;6
2 de julio;1;David Grann;9
2 de julio;2;Peter Attia with Bill Gifford;12
2 de julio;3;Hadley Vlahos;1
2 de julio;4;Elliot Page;2
2 de julio;5;David Grann;81
2 de julio;6;Paul McCartney;1
2 de julio;7;Bessel van der Kolk;147
2 de julio;8;Jennette McCurdy;45
2 de julio;9;Malcolm Gladwell;1
2 de julio;10;Michelle Zauner;65
2 de julio;11;David Von Drehle;4
2 de julio;12;Hannah Pick-Goslar with Dina Kraft;1
2 de julio;13;Jason Chaffetz;2
2 de julio;14;Prince Harry;23
2 de julio;15;Javier Zamora;6
9 de julio;1;Elin Hilderbrand;2
9 de julio;2;Emily Henry;9
9 de julio;3;Rebecca Yarros;8
9 de julio;4;Colleen Hoover;106
9 de julio;5;Bonnie Garmus;33
9 de julio;6;Ruth Ware;1
9 de julio;7;Ali Hazelwood;2
9 de julio;8;Colleen Hoover;36
9 de julio;9;Hannah Grace;6
9 de julio;10;Abraham Verghese;8
9 de julio;11;Colleen Hoover;81
9 de julio;12;Riley Sager;1
9 de julio;13;Taylor Jenkins Reid;102
9 de julio;14;Barbara Kingsolver;20
9 de julio;15;Freida McFadden;2
9 de julio;1;Peter Attia with Bill Gifford;13
9 de julio;2;David Grann;10
9 de julio;3;David Grann;82
9 de julio;4;Bessel van der Kolk;148
9 de julio;5;Jennette McCurdy;46
9 de julio;6;Paul McCartney;2
9 de julio;7;Hadley Vlahos;2
9 de julio;8;Chris Paul with Michael Wilbon;1
9 de julio;9;Elliot Page;3
9 de julio;10;Michelle Zauner;66
9 de julio;11;Prince Harry;24
9 de julio;12;Robin Wall Kimmerer;82
9 de julio;13;Robert F. Kennedy Jr.;9
9 de julio;14;Bell Hooks;49
9 de julio;15;David Von Drehle;5
16 de julio;1;Colleen Hoover;1
16 de julio;2;Rebecca Yarros;9
16 de julio;3;Elin Hilderbrand;3
16 de julio;4;Colleen Hoover;107
16 de julio;5;Emily Henry;10
16 de julio;6;Bonnie Garmus;34
16 de julio;7;Colleen Hoover;37
16 de julio;8;Colleen Hoover;82
16 de julio;9;Hannah Grace;7
16 de julio;10;Ali Hazelwood;3
16 de julio;11;Abraham Verghese;9
16 de julio;12;Danielle Steel;1
16 de julio;13;Taylor Jenkins Reid;103
16 de julio;14;Freida McFadden;3
16 de julio;15;Barbara Kingsolver;21
16 de julio;1;Peter Attia with Bill Gifford;14
16 de julio;2;David Grann;11
16 de julio;3;David Grann;83
16 de julio;4;Bessel van der Kolk;149
16 de julio;5;Jennette McCurdy;47
16 de julio;6;ohnny Joey Jones;1
16 de julio;7;Michael Finkel;1
16 de julio;8;Michelle Zauner;67
16 de julio;9;Hadley Vlahos;3
16 de julio;10;Paul McCartney;3
16 de julio;11; Chris van Tulleken;1
16 de julio;12;Wesley Lowery;1
16 de julio;13;Bell Hooks;50
16 de julio;14;Elliot Page;4
16 de julio;15;Robin Wall Kimmerer;83
23 de julio;1;Colleen Hoover;2
23 de julio;2;Rebecca Yarros;10
23 de julio;3;Colleen Hoover;108
23 de julio;4;Elin Hilderbrand;4
23 de julio;5;Emily Henry;11
23 de julio;6;Bonnie Garmus;35
23 de julio;7;Colleen Hoover;38
23 de julio;8;Hannah Grace;8
23 de julio;9;Colleen Hoover;83
23 de julio;10;Freida McFadden;4
23 de julio;11;Taylor Jenkins Reid;104
23 de julio;12;Abraham Verghese;10
23 de julio;13;Ali Hazelwood;4
23 de julio;14;Barbara Kingsolver;22
23 de julio;15;Colleen Hoover;66
23 de julio;1;David Grann;84
23 de julio;2;David Grann;12
23 de julio;3;Peter Attia with Bill Gifford;15
23 de julio;4;Bessel van der Kolk;150
23 de julio;5;Johnny Joey Jones;2
23 de julio;6;Jennette McCurdy;48
23 de julio;7;Michael Finkel;2
23 de julio;8;Hadley Vlahos;4
23 de julio;9;Michelle Zauner;68
23 de julio;10;Paul McCartney;4
23 de julio;11;Kai Bird and Martin J. Sherwin;1
23 de julio;12;Bell Hooks;51
23 de julio;13;Elliot Page;5
23 de julio;14;Robin Wall Kimmerer;84
23 de julio;15;David Sedaris;12
30 de julio;1;Rebecca Yarros;11
30 de julio;2;Colleen Hoover;3
30 de julio;3; James Patterson and James O. Born;1
30 de julio;4;Colleen Hoover;109
30 de julio;5;Colleen Hoover;39
30 de julio;6;Bonnie Garmus;36
30 de julio;7;Emily Henry;12
30 de julio;8;Colleen Hoover;84
30 de julio;9;Elin Hilderbrand;5
30 de julio;10;Abraham Verghese;5
30 de julio;11;Freida McFadden;5
30 de julio;12;Hannah Grace;9
30 de julio;13;Taylor Jenkins Reid;105
30 de julio;14;Colleen Hoover;67
30 de julio;15;Ana Huang;2
30 de julio;1;BTS and Myeongseok Kang;1
30 de julio;2;Kai Bird and Martin J. Sherwin;2
30 de julio;3;David Grann;85
30 de julio;4;Peter Attia with Bill Gifford;16
30 de julio;5;David Grann;13
30 de julio;6;Bessel van der Kolk;151
30 de julio;7;Jennette McCurdy;49
30 de julio;8;Johnny Joey Jones;3
30 de julio;9;Jeff Goodell;1
30 de julio;10;Bell Hooks;52
30 de julio;11;Michael Finkel;3
30 de julio;12;Robin Wall Kimmerer;85
30 de julio;13;Michelle Zauner;69
30 de julio;14;Hadley Vlahos;5
30 de julio;15;Elliot Page;6
6 de agosto;1;Daniel Silva;1
6 de agosto;2;Rebecca Yarros;12
6 de agosto;3;Colleen Hoover;4
6 de agosto;4;Colleen Hoover;110
6 de agosto;5;Bonnie Garmus;37
6 de agosto;6;Jennifer L. Armentrout;1
6 de agosto;7;Abraham Verghese;12
6 de agosto;8;Colleen Hoover;40
6 de agosto;9;Hannah Grace;10
6 de agosto;10;Freida McFadden;6
6 de agosto;11;Colleen Hoover;85
6 de agosto;12;Emily Henry;13
6 de agosto;13;Taylor Jenkins Reid;106
6 de agosto;14;Elin Hilderbrand;6
6 de agosto;15;Colson Whitehead;1
6 de agosto;1;Kai Bird and Martin J. Sherwin;3
6 de agosto;2;David Grann;86
6 de agosto;3;J. Randy Taraborrelli;1
6 de agosto;4;Peter Attia with Bill Gifford;17
6 de agosto;5;David Grann;14
6 de agosto;6;BTS and Myeongseok Kang;2
6 de agosto;7;Bessel van der Kolk;152
6 de agosto;8;Neil Howe;1
6 de agosto;9;Miles Taylor;1
6 de agosto;10;Jennette McCurdy;50
6 de agosto;11;Ben McKenzie with Jacob Silverman;1
6 de agosto;12;Christopher F. Rufo;1
6 de agosto;13; Carol Roth;1
6 de agosto;14;Jeff Goodell;2
6 de agosto;15;Hadley Vlahos;6
13 de agosto;1;Rebecca Yarros;13
13 de agosto;2;Brad Thor;1
13 de agosto;3;Pierce Brown;1
13 de agosto;4;Colleen Hoover;5
13 de agosto;5;Colleen Hoover;111
13 de agosto;6;Bonnie Garmus;38
13 de agosto;7;Abraham Verghese;13
13 de agosto;8;Daniel Silva;2
13 de agosto;9;Colleen Hoover;41
13 de agosto;10;Colleen Hoover;86
13 de agosto;11;Hannah Grace;11
13 de agosto;12;Freida McFadden;7
13 de agosto;13;Emily Henry;14
13 de agosto;14;Barbara Kingsolver;23
13 de agosto;15;Taylor Jenkins Reid;107
13 de agosto;1;Kai Bird and Martin J. Sherwin;4
13 de agosto;2;David Grann;15
13 de agosto;3;David Grann;87
13 de agosto;4;Peter Attia with Bill Gifford;18
13 de agosto;5;Bessel van der Kolk;153
13 de agosto;6;Jennette McCurdy;51
13 de agosto;7;BTS and Myeongseok Kang;3
13 de agosto;8;Greg Gutfeld;1
13 de agosto;9;Miles Taylor;2
13 de agosto;10;J. Randy Taraborrelli;2
13 de agosto;11;Hadley Vlahos;7
13 de agosto;12;Alan Paul;1
13 de agosto;13;Michael Finkel;4
13 de agosto;14;Robin Wall Kimmerer;86
13 de agosto;15;Bell Hooks;54
20 de agosto;1;Ann Patchett;1
20 de agosto;2;Rebecca Yarros;14
20 de agosto;3;Sandra Brown;1
20 de agosto;4;Colleen Hoover;6
20 de agosto;5;Colleen Hoover;112
20 de agosto;6;Bonnie Garmus;39
20 de agosto;7;Abraham Verghese;14
20 de agosto;8;Freida McFadden;8
20 de agosto;9;Colleen Hoover;42
20 de agosto;10;Colleen Hoover;87
20 de agosto;11;Hannah Grace;12
20 de agosto;12;Barbara Kingsolver;24
20 de agosto;13;Brad Thor;2
20 de agosto;14;Daniel Silva;3
20 de agosto;15;Emily Henry;15
20 de agosto;1;Kai Bird and Martin J. Sherwin;5
20 de agosto;2;David Grann;88
20 de agosto;3;Peter Attia with Bill Gifford;19
20 de agosto;4;David Grann;16
20 de agosto;5;Bessel van der Kolk;154
20 de agosto;6;Jennette McCurdy;52
20 de agosto;7;Dolly Alderton;1
20 de agosto;8;BTS and Myeongseok Kang;4
20 de agosto;9;Robin Wall Kimmerer;87
20 de agosto;10;Susan Casey;1
20 de agosto;11;Bell Hooks;54
20 de agosto;12;Hadley Vlahos;8
20 de agosto;13;Jennifer Ackerman;1
20 de agosto;14;Michelle Zauner;70
20 de agosto;15;Trevor Noah;89
27 de agosto;1;Rebecca Yarros;15
27 de agosto;2;Ann Patchett;2
27 de agosto;3;Danielle Steel;1
27 de agosto;4;Lisa Jewell;1
27 de agosto;5; James McBride;1
27 de agosto;6;Colleen Hoover;7
27 de agosto;7;Bonnie Garmus;40
27 de agosto;8;Colleen Hoover;113
27 de agosto;9;Freida McFadden;9
27 de agosto;10;Abraham Verghese;15
27 de agosto;11;Colleen Hoover;43
27 de agosto;12;Katee Robert;1
27 de agosto;13;Colleen Hoover;88
27 de agosto;14;Hannah Grace;13
27 de agosto;15;Barbara Kingsolver;25
27 de agosto;1;Kai Bird and Martin J. Sherwin;6
27 de agosto;2;David Grann;89
27 de agosto;3;Peter Attia with Bill Gifford;20
27 de agosto;4;David Grann;17
27 de agosto;5;Bessel van der Kolk;155
27 de agosto;6;Jennette McCurdy;53
27 de agosto;7;Dolly Alderton;2
27 de agosto;8;Robin Wall Kimmerer;88
27 de agosto;9;Hadley Vlahos;9
27 de agosto;10;BTS and Myeongseok Kang;5
27 de agosto;11;Trevor Noah;90
27 de agosto;12;Bell Hooks;55
27 de agosto;13;Ben Macintyre;2
27 de agosto;14;Michelle Zauner;71
27 de agosto;15;Jeannette Walls;62
3 de septiembre;1;Ann Patchett;3
3 de septiembre;2;Rebecca Yarros;16
3 de septiembre;3;Casey McQuiston;1
3 de septiembre;4;Colleen Hoover;8
3 de septiembre;5;James Patterson and Duane Swierczynski;1
3 de septiembre;6;Freida McFadden;10
3 de septiembre;7;Bonnie Garmus;41
3 de septiembre;8;Colleen Hoover;114
3 de septiembre;9;Hannah Grace;14
3 de septiembre;10;James Rollins;1
3 de septiembre;11;Colleen Hoover;44
3 de septiembre;12;Abraham Verghese;16
3 de septiembre;13;Colleen Hoover;89
3 de septiembre;14;Barbara Kingsolver;26
3 de septiembre;15;Lisa Jewell;2
3 de septiembre;1;Kai Bird and Martin J. Sherwin;7
3 de septiembre;2;David Grann;90
3 de septiembre;3;Peter Attia with Bill Gifford;21
3 de septiembre;4;Bessel van der Kolk;156
3 de septiembre;5;David Grann;18
3 de septiembre;6;Jennette McCurdy;54
3 de septiembre;7;Tara Westover;149
3 de septiembre;8;Michelle Zauner;72
3 de septiembre;9;Trevor Noah;91
3 de septiembre;10;Robin Wall Kimmerer;89
3 de septiembre;11;Michio Kaku;11
3 de septiembre;12;Adam Grant;21
3 de septiembre;13;Dolly Alderton;3
3 de septiembre;14;Bell Hooks;56
3 de septiembre;15;BTS and Myeongseok Kang;6
10 de septiembre;1;Rebecca Yarros;17
10 de septiembre;2;Douglas Preston and Lincoln Child;1
10 de septiembre;3;Ann Patchett;4
10 de septiembre;4;Karin Slaughter;1
10 de septiembre;5;Freida McFadden;11
10 de septiembre;6;Colleen Hoover;9
10 de septiembre;7;Christine Feehan;1
10 de septiembre;8;Bonnie Garmus;42
10 de septiembre;9;Colleen Hoover;115
10 de septiembre;10; Casey McQuiston;2
10 de septiembre;11;Abraham Verghese;17
10 de septiembre;12;Hanya Yanagihara;1
10 de septiembre;13;Alex Michaelides;60
10 de septiembre;14;Colleen Hoover;45
10 de septiembre;15;Colleen Hoover;90
10 de septiembre;1;David Grann;91
10 de septiembre;2;Billy Walters with Armen Keteyian;1
10 de septiembre;3;Peter Attia with Bill Gifford;22
10 de septiembre;4;Bessel van der Kolk;157
10 de septiembre;5;Kai Bird and Martin J. Sherwin;8
10 de septiembre;6;David Grann;19
10 de septiembre;7;Drew Gilpin Faust;1
10 de septiembre;8;Jennette McCurdy;55
10 de septiembre;9;Michelle Zauner;73
10 de septiembre;10;Robin Wall Kimmerer;90
10 de septiembre;11;Trevor Noah;92
10 de septiembre;12;Jennifer Breheny Wallace;1
10 de septiembre;13;Bell Hooks;57
10 de septiembre;14;David Von Drehle;6
10 de septiembre;15;Dolly Alderton;4
17 de septiembre;1;Rebecca Yarros;18
17 de septiembre;2;Hannah Nicole Maehrer;1
17 de septiembre;3;Ann Patchett;5
17 de septiembre;4;Freida McFadden;1
17 de septiembre;5;Jennifer Weiner;1
17 de septiembre;6;Freida McFadden;12
17 de septiembre;7;Colleen Hoover;10
17 de septiembre;8;Karin Smirnoff;1
17 de septiembre;9;Colleen Hoover;116
17 de septiembre;10;Bonnie Garmus;43
17 de septiembre;11;Abraham Verghese;18
17 de septiembre;12;Barbara Kingsolver;27
17 de septiembre;13;James McBride;2
17 de septiembre;14;Colleen Hoover;91
17 de septiembre;15;Colleen Hoover;46
17 de septiembre;1;David Grann;92
17 de septiembre;2;Bessel van der Kolk;158
17 de septiembre;3;Peter Attia with Bill Gifford;23
17 de septiembre;4;Kai Bird and Martin J. Sherwin;9
17 de septiembre;5;David Grann;20
17 de septiembre;6;Jennette McCurdy;56
17 de septiembre;7;Billy Walters with Armen Keteyian;2
17 de septiembre;8;Robin Wall Kimmerer;91
17 de septiembre;9;Ed Yong;14
17 de septiembre;10;Michelle Zauner;74
17 de septiembre;11;Robert F. Kennedy and Brian Hooker;1
17 de septiembre;12;Trevor Noah;93
17 de septiembre;13;Dolly Alderton;5
17 de septiembre;14;Bell Hooks;58
17 de septiembre;15;Tara Westover;150
24 de septiembre;1;Stephen King;1
24 de septiembre;2;Lucy Score;1
24 de septiembre;3;J.D. Robb;1
24 de septiembre;4;Rebecca Yarros;19
24 de septiembre;5; William Kent Krueger;1
24 de septiembre;6;Ann Patchett;6
24 de septiembre;7;Craig Johnson;1
24 de septiembre;8;Don Bentley;1
24 de septiembre;9;Freida McFadden;13
24 de septiembre;10;Hannah Nicole Maehrer;2
24 de septiembre;11;Bonnie Garmus;44
24 de septiembre;12;Colleen Hoover;11
24 de septiembre;13;Ann Cleeves;1
24 de septiembre;14;Abraham Verghese;19
24 de septiembre;15;Graham Brown;1
24 de septiembre;1;David Grann;93
24 de septiembre;2;Peter Attia with Bill Gifford;24
24 de septiembre;3;Bessel van der Kolk;159
24 de septiembre;4;Mustafa Suleyman with Michael Bhaskar;1
24 de septiembre;5;Joe Posnanski;1
24 de septiembre;6;Franklin Foer;1
24 de septiembre;7;David Grann;21
24 de septiembre;8;Kai Bird and Martin J. Sherwin;10
24 de septiembre;9;Drew Gilpin Faust;2
24 de septiembre;10;Jennette McCurdy;57
24 de septiembre;11;Maria Bamford;1
24 de septiembre;12;Robin Wall Kimmerer;92
24 de septiembre;13;Ed Yong;15
24 de septiembre;14;Robert P. Jones;1
24 de septiembre;15;Michelle Zauner;75
1 de octubre;1;Kyle Mills;1
1 de octubre;2;Stephen King;2
1 de octubre;3;Rebecca Yarros;20
1 de octubre;4;James Patterson;1
1 de octubre;5;Lucy Score;2
1 de octubre;6;Jennifer L. Armentrout;1
1 de octubre;7;Ann Patchett;7
1 de octubre;8;Bonnie Garmus;45
1 de octubre;9;Freida McFadden;14
1 de octubre;10;Colleen Hoover;12
1 de octubre;11;Abraham Verghese;20
1 de octubre;12;J.D. Robb;2
1 de octubre;13;Hannah Nicole Maehrer;3
1 de octubre;14;Barbara Kingsolver;28
1 de octubre;15; Lauren Groff;1
1 de octubre;1;Walter Isaacson;1
1 de octubre;2;Jill Duggar with Derick Dillard and Craig Borlase;1
1 de octubre;3;David Grann;94
1 de octubre;4;Peter Attia with Bill Gifford;25
1 de octubre;5;Bessel van der Kolk;160
1 de octubre;6;David Grann;22
1 de octubre;7;Bernie Taupin;1
1 de octubre;8;Neil deGrasse Tyson and Lindsey Nyx Walker;1
1 de octubre;9; Naomi Klein;1
1 de octubre;10;Steven Levitsky and Daniel Ziblatt;1
1 de octubre;11;Kai Bird and Martin J. Sherwin;11
1 de octubre;12;Bettina L. Love;1
1 de octubre;13;Jennette McCurdy;58
1 de octubre;14;Mustafa Suleyman with Michael Bhaskar;2
1 de octubre;15;Robin Wall Kimmerer;93
8 de octubre;1;Richard Osman;1
8 de octubre;2;Rebecca Yarros;21
8 de octubre;3;Stephen King;3
8 de octubre;4;Ann Patchett;8
8 de octubre;5;Lucy Score;3
8 de octubre;6;Bonnie Garmus;46
8 de octubre;7;Kyle Mills;2
8 de octubre;8;Freida McFadden;15
8 de octubre;9;James Patterson;2
8 de octubre;10;Abraham Verghese;21
8 de octubre;11;Cara Hunter;1
8 de octubre;12;John Scalzi;1
8 de octubre;13;Colleen Hoover;13
8 de octubre;14;Breanne Randall;1
8 de octubre;15;J.A. Jance;1
8 de octubre;1;Mark R. Levin;1
8 de octubre;2;Walter Isaacson;2
8 de octubre;3; Anderson Cooper and Katherine Howe;1
8 de octubre;4;David Grann;95
8 de octubre;5;Jill Duggar with Derick Dillard and Craig Borlase;2
8 de octubre;6;Peter Attia with Bill Gifford;26
8 de octubre;7;Thomas Sowell;1
8 de octubre;8;Michael Harriot;1
8 de octubre;9;Bessel van der Kolk;161
8 de octubre;10;David Grann;23
8 de octubre;11;Douglas Brunt;1
8 de octubre;12;Kai Bird and Martin J. Sherwin;12
8 de octubre;13;Naomi Klein;2
8 de octubre;14;Joe Posnanski;2
8 de octubre;15;Robin Wall Kimmerer;94
15 de octubre;1;Robert Galbraith;1
15 de octubre;2;Ken Follett;1
15 de octubre;3;Rebecca Yarros;22
15 de octubre;4;James Patterson and Mike Lupica;1
15 de octubre;5; Sarah J. Maas;4
15 de octubre;6;Stephen King;4
15 de octubre;7;Sarah J. Maas;4
15 de octubre;8;Ann Patchett;9
15 de octubre;9;Bonnie Garmus;47
15 de octubre;10;Lucy Score;4
15 de octubre;11;Freida McFadden;16
15 de octubre;12;V.E. Schwab;1
15 de octubre;13;Hannah Grace;15
15 de octubre;14;Mary Kay Andrews;1
15 de octubre;15;Abraham Verghese;22
15 de octubre;1;Cassidy Hutchinson;1
15 de octubre;2;Bill O'Reilly and Martin Dugard;1
15 de octubre;3;Mark R. Levin;2
15 de octubre;4;Heather Cox Richardson;1
15 de octubre;5;Walter Isaacson;3
15 de octubre;6;David Grann;96
15 de octubre;7;erry Washington;1
15 de octubre;8;Anderson Cooper and Katherine Howe;2
15 de octubre;9;Jill Duggar with Derick Dillard and Craig Borlase;3
15 de octubre;10;Peter Attia with Bill Gifford;27
15 de octubre;11;Bessel van der Kolk;162
15 de octubre;12;David Grann;24
15 de octubre;13;Michael Harriot;2
15 de octubre;14;Kai Bird and Martin J. Sherwin;13
15 de octubre;15;Douglas Brunt;2
22 de octubre;1;ohn Sandford;1
22 de octubre;2;Hannah Grace;1
22 de octubre;3;Rebecca Yarros;23
22 de octubre;4;Danielle Steel;1
22 de octubre;5;Stephen King;5
22 de octubre;6;Christine Feehan;1
22 de octubre;7;Bonnie Garmus;48
22 de octubre;8;Hernan Diaz;1
22 de octubre;9;James Patterson and Mike Lupica;2
22 de octubre;10;Hannah Grace;16
22 de octubre;11;Ken Follett;2
22 de octubre;12;Ann Patchett;10
22 de octubre;13;Freida McFadden;17
22 de octubre;14; Alix E. Harrow;1
22 de octubre;15;Kerri Maniscalco;1
22 de octubre;1; Michael Lewis;1
22 de octubre;2;Mark R. Levin;3
22 de octubre;3;David Grann;97
22 de octubre;4;Bill O'Reilly and Martin Dugard;2
22 de octubre;5;Walter Isaacson;4
22 de octubre;6;Cassidy Hutchinson;2
22 de octubre;7;Patrick Stewart;1
22 de octubre;8;Anderson Cooper and Katherine Howe;3
22 de octubre;9;Heather Cox Richardson;2
22 de octubre;10;Peter Attia with Bill Gifford;28
22 de octubre;11;Bessel van der Kolk;163
22 de octubre;12;Kerry Washington;2
22 de octubre;13;David Grann;25
22 de octubre;14;Steve Inskeep;1
22 de octubre;15;Cat Bohannon;1
29 de octubre;1;Rebecca Yarros;24
29 de octubre;2;Nelson DeMille and Alex DeMille;1
29 de octubre;3;Hannah Grace;2
29 de octubre;4;Bonnie Garmus;49
29 de octubre;5;John Sandford;2
29 de octubre;6;Stephen King;6
29 de octubre;7;Hannah Grace;17
29 de octubre;8;Ann Patchett;11
29 de octubre;9;Cassandra Clare;1
29 de octubre;10;Freida McFadden;18
29 de octubre;11;Taylor Jenkins Reid;108
29 de octubre;12;Ken Follett;3
29 de octubre;13;Ana Huang;3
29 de octubre;14;Lucy Score;5
29 de octubre;15;Lucy Score;4
29 de octubre;1;David Grann;98
29 de octubre;2;Cassidy Hutchinson;3
29 de octubre;3;Walter Isaacson;5
29 de octubre;4;Bill O'Reilly and Martin Dugard;3
29 de octubre;5;Michael Lewis;2
29 de octubre;6;Bret Baier with Catherine Whitney;1
29 de octubre;7;Mark R. Levin;4
29 de octubre;8;Rich Paul with Jesse Washington;1
29 de octubre;9;Peter Attia with Bill Gifford;29
29 de octubre;10;Heather Cox Richardson;3
29 de octubre;11;Bessel van der Kolk;164
29 de octubre;12;Anderson Cooper and Katherine Howe;4
29 de octubre;13;Patrick Stewart;2
29 de octubre;14;David Grann;26
29 de octubre;15;Joanna Robinson, Dave Gonzales and Gavin Edwards;1
5 de noviembre;1;John Grisham;1
5 de noviembre;2;Rebecca Yarros;25
5 de noviembre;3;Bonnie Garmus;50
5 de noviembre;4;Rachel Gillig;1
5 de noviembre;5;Hannah Grace;3
5 de noviembre;6;Hanya Yanagihara;2
5 de noviembre;7;Ann Patchett;12
5 de noviembre;8;John Sandford;3
5 de noviembre;9;Hannah Grace;18
5 de noviembre;10;Freida McFadden;19
5 de noviembre;11;Stephen King;7
5 de noviembre;12;Taylor Jenkins Reid;109
5 de noviembre;13;Ken Follett;4
5 de noviembre;14;Colleen Hoover;117
5 de noviembre;15;Lucy Score;6
5 de noviembre;1;David Grann;99
5 de noviembre;2;Rachel Maddow;1
5 de noviembre;3;Cassidy Hutchinson;4
5 de noviembre;4;Jada Pinkett Smith;1
5 de noviembre;5;Dolly Parton with Holly George-Warren;1
5 de noviembre;6;Walter Isaacson;6
5 de noviembre;7;Heather Cox Richardson;4
5 de noviembre;8;Bill O'Reilly and Martin Dugard;4
5 de noviembre;9;Michael Lewis;3
5 de noviembre;10;Bessel van der Kolk;165
5 de noviembre;11;Mark R. Levin;5
5 de noviembre;12;Peter Attia with Bill Gifford;30
5 de noviembre;13;Bret Baier with Catherine Whitney;2
5 de noviembre;14;Robert M. Sapolsky;1
5 de noviembre;15;David Grann;27
12 de noviembre;1; Lee Child and Andrew Child;1
12 de noviembre;2;John Grisham;2
12 de noviembre;3; Ana Huang;1
12 de noviembre;4;Rebecca Yarros;26
12 de noviembre;5;Bonnie Garmus;51
12 de noviembre;6;Jesmyn Ward;1
12 de noviembre;7;Ann Patchett;13
