Semana;Categoría;Ranking;Título;Autor;Semanas en ranking;Género
9 de enero 2022 ;Combined Print & E-Book Nonfiction;3;GREENLIGHTS;Matthew McConaughey;49;Autobiografía
9 de enero 2022 ;Combined Print & E-Book Nonfiction;4;THE 1619 PROJECT;Nikole Hannah-Jones;6;Historia
9 de enero 2022 ;Combined Print & E-Book Nonfiction;5;THE LYRICS: 1956 TO THE PRESENT;Paul McCartney;8;Biografía
9 de enero 2022 ;Combined Print & E-Book Nonfiction;6;THE PRESIDENT AND THE FREEDOM FIGHTER;Brian Kilmeade;8;Biografía
9 de enero 2022 ;Combined Print & E-Book Nonfiction;7;RENEGADES;Barack Obama and Bruce Springsteen;8;Política
9 de enero 2022 ;Combined Print & E-Book Nonfiction;8;ALL AMERICAN CHRISTMAS;Rachel Campos-Duffy and Sean Duffy;6;Biografia 
9 de enero 2022 ;Combined Print & E-Book Nonfiction;9;THE BODY KEEPS THE SCORE;Bessel Van Der Kolk;70;Autoayuda
9 de enero 2022 ;Combined Print & E-Book Nonfiction;10;TASTE;Stanley Tucci;11;Autobiografía
9 de enero 2022 ;Combined Print & E-Book Nonfiction;11;CRYING IN H MART;Michelle Zauner;13;Autobiografía
9 de enero 2022 ;Combined Print & E-Book Nonfiction;12;ALL ABOUT LOVE;Bell Hooks;13;Autoayuda
9 de enero 2022 ;Combined Print & E-Book Nonfiction;13;THE BEATLES: GET BACK;The beatles;7;Biografía
9 de enero 2022 ;Combined Print & E-Book Nonfiction;14;THE DEFENSE LAWYER;James Patterson and benjamin wallace;1;Biografía 
9 de enero 2022 ;Combined Print & E-Book Nonfiction;15;ALL ABOUT ME!;Mel Brooks;2;Biografía
16 de enero 2022;Combined Print & E-Book Fiction;1;IT ENDS WITH US;Colleen Hoover;29;Romance
16 de enero 2022;Combined Print & E-Book Fiction;2;VERITY;Colleen Hoover;4;Thriller
16 de enero 2022;Combined Print & E-Book Fiction;3;THE SEVEN HUSBANDS OF EVELYN HUGO;Taylor Jenkins Reid;27;Romance
16 de enero 2022;Combined Print & E-Book Fiction;4;ANNIHILATION ROAD;Christine Feehan;11;Romance
