Semana;Categoría;Ranking;Título;Autor;Semanas en ranking;Género
22 de mayo 2022;Combined Print & E-Book Fiction;9;DREAM TOWN;David Baldacci;3;Misterio
22 de mayo 2022;Combined Print & E-Book Fiction;10;RUN, ROSE, RUN;Dolly Parton and James Patterson;9;Drama
22 de mayo 2022;Combined Print & E-Book Fiction;11;UGLY LOVE;Colleen Hoover;17;Romance
22 de mayo 2022;Combined Print & E-Book Fiction;12;BETTER OFF DEAD; Lee Child and Andrew Child;6;Thriller
22 de mayo 2022;Combined Print & E-Book Fiction;13;THE BOOK WOMAN'S DAUGHTER;Kim Michele Richardson;1;Drama
22 de mayo 2022;Combined Print & E-Book Fiction;14;THE INVESTIGATOR;John Sandford;4;Misterio
22 de mayo 2022;Combined Print & E-Book Fiction;15;PEOPLE WE MEET ON VACATION;Emily Henry;24;Romance
22 de mayo 2022;Combined Print & E-Book Nonfiction;1;KILLING THE KILLERS; Bill O'Reilly and Martin Dugard;1;Historia
22 de mayo 2022;Combined Print & E-Book Nonfiction;2;FINDING ME;Viola Davis;2;Autobiografía
22 de mayo 2022;Combined Print & E-Book Nonfiction;3;THIS WILL NOT PASS;onathan Martin and Alexander Burns;1;Historia
22 de mayo 2022;Combined Print & E-Book Nonfiction;4;THE PALACE PAPERS;Tina Brown;2;Biografía
22 de mayo 2022;Combined Print & E-Book Nonfiction;5;OUT OF THE CORNER;Jennifer Grey;1;Autobiografía
22 de mayo 2022;Combined Print & E-Book Nonfiction;6;THE BODY KEEPS THE SCORE;Bessel Van Der Kolk;89;Autoayuda
22 de mayo 2022;Combined Print & E-Book Nonfiction;7;UNDER THE BANNER OF HEAVEN;Jon Krakauer;2;Crimen
22 de mayo 2022;Combined Print & E-Book Nonfiction;8;UNMASKED;Paul Holes;2;Crimen
22 de mayo 2022;Combined Print & E-Book Nonfiction;9;CRYING IN H MART;Michelle Zauner;32;Autobiografía
22 de mayo 2022;Combined Print & E-Book Nonfiction;10;BRAIDING SWEETGRASS;Robin Wall Kimmerer;38;Autoayuda
22 de mayo 2022;Combined Print & E-Book Nonfiction;11;FREEZING ORDER;Bill Browder ;4;Política
22 de mayo 2022;Combined Print & E-Book Nonfiction;12;ANNA;Amy Odell;1;Biografía
22 de mayo 2022;Combined Print & E-Book Nonfiction;13;JUST TYRUS;Tyrus;2;Autobiografía
22 de mayo 2022;Combined Print & E-Book Nonfiction;14;WHAT HAPPENED TO YOU;Bruce D. Perry and Oprah Winfrey;24;Autoayuda
22 de mayo 2022;Combined Print & E-Book Nonfiction;15;I'LL SHOW MYSELF OUT;Jessi Klein;2;Ensayo
29 de mayo 2022;Combined Print & E-Book Fiction;1;BOOK LOVERS;Emily Henry;2;Romance
29 de mayo 2022;Combined Print & E-Book Fiction;2;IT ENDS WITH US;Colleen Hoover;48;Romance
29 de mayo 2022;Combined Print & E-Book Fiction;3;22 SECONDS;James Patterson and Maxine Paetro;2;Thriller
29 de mayo 2022;Combined Print & E-Book Fiction;4;THE SUMMER PLACE;Jennifer Weiner;1;Romance
29 de mayo 2022;Combined Print & E-Book Fiction;5;WHERE THE CRAWDADS SING;delia Owens;160;Thriller
29 de mayo 2022;Combined Print & E-Book Fiction;6;VERITY;Colleen Hoover;23;Thriller
29 de mayo 2022;Combined Print & E-Book Fiction;7;THE SEVEN HUSBANDS OF EVELYN HUGO;Taylor Jenkins Reid;46;Romance
29 de mayo 2022;Combined Print & E-Book Fiction;8;BETTER OFF DEAD;Lee Child and Andrew Child;7;Thriller
29 de mayo 2022;Combined Print & E-Book Fiction;9;UGLY LOVE;Colleen Hoover;18;Romance
29 de mayo 2022;Combined Print & E-Book Fiction;10;DREAM TOWN;David Baldacci;4;Misterio
29 de mayo 2022;Combined Print & E-Book Fiction;11;THE LIONESS;Chris Bohjalian;1;Thriller
29 de mayo 2022;Combined Print & E-Book Fiction;12;RUN, ROSE, RUN;Dolly Parton and James Patterson;10;Drama
29 de mayo 2022;Combined Print & E-Book Fiction;13;PEOPLE WE MEET ON VACATION;Emily Henry;25;Romance
29 de mayo 2022;Combined Print & E-Book Fiction;14;NOVEMBER 9;Colleen Hoover;9;Romance
29 de mayo 2022;Combined Print & E-Book Fiction;15;THE LOVE HYPOTHESIS;Ali Hazelwood;21;Romance
29 de mayo 2022;Combined Print & E-Book Nonfiction;1;KILLING THE KILLERS;Bill O'Reilly and Martin Dugard;2;Historia
29 de mayo 2022;Combined Print & E-Book Nonfiction;2;FINDING ME;Viola Davis;3;Autobiografía
29 de mayo 2022;Combined Print & E-Book Nonfiction;3;A SACRED OATH;Mark T. Esper;1;Política
29 de mayo 2022;Combined Print & E-Book Nonfiction;4;LILY'S PROMISE;Lily Ebert and Dov Forman;1;Autobiografía
29 de mayo 2022;Combined Print & E-Book Nonfiction;5;THE BODY KEEPS THE SCORE;Bessel Van Der Kolk;90;Autoayuda
29 de mayo 2022;Combined Print & E-Book Nonfiction;6;THE PALACE PAPERS;Tina Brown;3;Biografía
29 de mayo 2022;Combined Print & E-Book Nonfiction;7;THIS WILL NOT PASS;Jonathan Martin and Alexander Burns;2;Política
29 de mayo 2022;Combined Print & E-Book Nonfiction;8;HOW THE WORLD REALLY WORKS;Vaclav Smil;1;Ensayo
29 de mayo 2022;Combined Print & E-Book Nonfiction;9;OUT OF THE CORNER;Jennifer Grey;2;Autobiografía
29 de mayo 2022;Combined Print & E-Book Nonfiction;10;ALI'S WELL THAT ENDS WELL;Ali Wentworth;1;Autobiografía
29 de mayo 2022;Combined Print & E-Book Nonfiction;11;EDUCATED;Tara Westover ;137;Autobiografía
29 de mayo 2022;Combined Print & E-Book Nonfiction;12;BACK TO THE PRAIRIE;Melissa Gilbert;1;Autobiografía
29 de mayo 2022;Combined Print & E-Book Nonfiction;13;HEARTS TOUCHED WITH FIRE;David Gergen;1;Política
29 de mayo 2022;Combined Print & E-Book Nonfiction;14;CRYING IN H MART;Michelle Zauner;33;Autobiografía
29 de mayo 2022;Combined Print & E-Book Nonfiction;15;UNDER THE BANNER OF HEAVEN;Jon Krakauer;3;Crimen
5 de junio 2022;Combined Print & E-Book Fiction;1;IN THE BLOOD;Jack Carr;1;Thriller
5 de junio 2022;Combined Print & E-Book Fiction;2;BOOK LOVERS;Emily Henry;3;Romance
5 de junio 2022;Combined Print & E-Book Fiction;3;IT ENDS WITH US;Colleen Hoover;49;Romance
5 de junio 2022;Combined Print & E-Book Fiction;4;WHERE THE CRAWDADS SING;delia Owens;161;Thriller
5 de junio 2022;Combined Print & E-Book Fiction;5;VERITY;Colleen Hoover;24;Thriller
5 de junio 2022;Combined Print & E-Book Fiction;6;THE SEVEN HUSBANDS OF EVELYN HUGO;Taylor Jenkins Reid;47;Romance
5 de junio 2022;Combined Print & E-Book Fiction;7;UGLY LOVE;Colleen Hoover;19;Romance
5 de junio 2022;Combined Print & E-Book Fiction;8;22 SECONDS;James Patterson and Maxine Paetro;3;Thriller
5 de junio 2022;Combined Print & E-Book Fiction;9;THIS TIME TOMORROW;Emma Straub;1;Ciencia Ficción
5 de junio 2022;Combined Print & E-Book Fiction;10;PEOPLE WE MEET ON VACATION;Emily Henry;26;Romance
5 de junio 2022;Combined Print & E-Book Fiction;11;SOMETHING WILDER; Christina Lauren;1;Romance
5 de junio 2022;Combined Print & E-Book Fiction;12;DREAM TOWN;David Baldacci;5;Misterio
5 de junio 2022;Combined Print & E-Book Fiction;13;THE SUMMER PLACE;Jennifer Weiner;2;Romance
5 de junio 2022;Combined Print & E-Book Fiction;14;MALIBU RISING;Taylor Jenkins Reid;14;Romance
5 de junio 2022;Combined Print & E-Book Fiction;15;BETTER OFF DEAD;Lee Child and Andrew Child;8;Thriller
5 de junio 2022;Combined Print & E-Book Nonfiction;1;THE OFFICE BFFS;Jenna Fischer and Angela Kinsey;1;Autobiografía
5 de junio 2022;Combined Print & E-Book Nonfiction;2;PHIL; Alan Shipnuck;1;Biografía
5 de junio 2022;Combined Print & E-Book Nonfiction;3;KILLING THE KILLERS;Bill O'Reilly and Martin Dugard;3;Historia
5 de junio 2022;Combined Print & E-Book Nonfiction;4;RIVER OF THE GODS;Candice Millard;1;Historia
5 de junio 2022;Combined Print & E-Book Nonfiction;5;FINDING ME;Viola Davis;4;Autobiografía
5 de junio 2022;Combined Print & E-Book Nonfiction;6;THE BODY KEEPS THE SCORE;Bessel Van Der Kolk;91;Autoayuda
5 de junio 2022;Combined Print & E-Book Nonfiction;7;MEAN BABY;Selma Blair;1;Autobiografía
5 de junio 2022;Combined Print & E-Book Nonfiction;8;THE PALACE PAPERS;Tina Brown;4;Biografía
5 de junio 2022;Combined Print & E-Book Nonfiction;9;THIS WILL NOT PASS;Jonathan Martin and Alexander Burns;3;Política
5 de junio 2022;Combined Print & E-Book Nonfiction;10;WE WERE DREAMERS; Simu Liu;1;Autobiografía
5 de junio 2022;Combined Print & E-Book Nonfiction;11;BRAIDING SWEETGRASS;Robin Wall Kimmerer;39;Autoayuda
5 de junio 2022;Combined Print & E-Book Nonfiction;12;A SACRED OATH;Mark T. Esper;2;Política
5 de junio 2022;Combined Print & E-Book Nonfiction;13;UNDER THE BANNER OF HEAVEN;Jon Krakauer;4;Crimen
5 de junio 2022;Combined Print & E-Book Nonfiction;14;CRYING IN H MART;Michelle Zauner;34;Autobiografía
5 de junio 2022;Combined Print & E-Book Nonfiction;15;THE POWER OF CRISIS;Ian Bremmer;1;Ensayo
12 de junio 2022;Combined Print & E-Book Fiction;1;NIGHTWORK;Nora Roberts;1;Romance
12 de junio 2022;Combined Print & E-Book Fiction;2;WHERE THE CRAWDADS SING;delia Owens;162;Thriller
12 de junio 2022;Combined Print & E-Book Fiction;3;IT ENDS WITH US;Colleen Hoover;50;Romance
12 de junio 2022;Combined Print & E-Book Fiction;4;BOOK LOVERS;Emily Henry;4;Romance
12 de junio 2022;Combined Print & E-Book Fiction;5;VERITY;Colleen Hoover;25;Thriller
12 de junio 2022;Combined Print & E-Book Fiction;6;THE SEVEN HUSBANDS OF EVELYN HUGO;Taylor Jenkins Reid;48;Romance
12 de junio 2022;Combined Print & E-Book Fiction;7;UGLY LOVE;Colleen Hoover;20;Romance
12 de junio 2022;Combined Print & E-Book Fiction;8;CLIVE CUSSLER'S DARK VECTOR;Graham Brown;1;Misterio
12 de junio 2022;Combined Print & E-Book Fiction;9;PEOPLE WE MEET ON VACATION;Emily Henry;27;Romance
12 de junio 2022;Combined Print & E-Book Fiction;10;NOVEMBER 9;Colleen Hoover;10;Romance
12 de junio 2022;Combined Print & E-Book Fiction;11;22 SECONDS;James Patterson and Maxine Paetro;4;Misterio
12 de junio 2022;Combined Print & E-Book Fiction;12;THE SUMMER PLACE;Jennifer Weiner;3;Romance
12 de junio 2022;Combined Print & E-Book Fiction;13;MALIBU RISING;Taylor Jenkins Reid;15;Romance
12 de junio 2022;Combined Print & E-Book Fiction;14;TWO NIGHTS IN LISBON;Chris Pavone;1;Misterio
12 de junio 2022;Combined Print & E-Book Fiction;15;DREAM TOWN;David Baldacci;6;Misterio
12 de junio 2022;Combined Print & E-Book Nonfiction;1;HAPPY-GO-LUCKY;David Sedaris;1;Autobiografía
12 de junio 2022;Combined Print & E-Book Nonfiction;2;KILLING THE KILLERS;Bill O'Reilly and Martin Dugard;5;Historia
12 de junio 2022;Combined Print & E-Book Nonfiction;3;FINDING ME;Viola Davis;6;Autobiografía
12 de junio 2022;Combined Print & E-Book Nonfiction;4;THE BODY KEEPS THE SCORE;Bessel Van Der Kolk;93;Autoayuda
12 de junio 2022;Combined Print & E-Book Nonfiction;5;HERE'S THE DEAL;Kellyanne Conway;2;Política
12 de junio 2022;Combined Print & E-Book Nonfiction;6;THE 1619 PROJECT;Nikole Hannah-Jones;24;Historia
12 de junio 2022;Combined Print & E-Book Nonfiction;7;THE PALACE PAPERS;Tina Brown;6;Biografía
12 de junio 2022;Combined Print & E-Book Nonfiction;8;CRYING IN H MART;Michelle Zauner;36;Autobiografía
12 de junio 2022;Combined Print & E-Book Nonfiction;9;PHIL;Alan Shipnuck;3;Biografía
12 de junio 2022;Combined Print & E-Book Nonfiction;10;SECRET CITY;James Kirchick;1;Historia
12 de junio 2022;Combined Print & E-Book Nonfiction;11;UNDER THE BANNER OF HEAVEN;Jon Krakauer;6;Crimen
12 de junio 2022;Combined Print & E-Book Nonfiction;12;BRAIDING SWEETGRASS;Robin Wall Kimmerer;41;Autoayuda
12 de junio 2022;Combined Print & E-Book Nonfiction;13;RIVER OF THE GODS;Candice Millard;3;Historia
12 de junio 2022;Combined Print & E-Book Nonfiction;14;THE OFFICE BFFS;Jenna Fischer and Angela Kinsey;3;Autobiografía
12 de junio 2022;Combined Print & E-Book Nonfiction;15;ALL ABOUT LOVE;Bell Hooks;21;Autoayuda
19 de junio 2022 ;Combined Print & E-Book Fiction;1;SPARRING PARTNERS;John Grisham;1;Thriller
19 de junio 2022 ;Combined Print & E-Book Fiction;2;IT ENDS WITH US;Colleen Hoover;51;Romance
19 de junio 2022 ;Combined Print & E-Book Fiction;3;WHERE THE CRAWDADS SING;delia Owens;163;Thriller
19 de junio 2022 ;Combined Print & E-Book Fiction;4;BOOK LOVERS;Emily Henry;5;Romance
19 de junio 2022 ;Combined Print & E-Book Fiction;5;VERITY;Colleen Hoover;26;Thriller
19 de junio 2022 ;Combined Print & E-Book Fiction;6;THE SEVEN HUSBANDS OF EVELYN HUGO;Taylor Jenkins Reid;49;Romance
19 de junio 2022 ;Combined Print & E-Book Fiction;7;MEANT TO BE ;Emily Giffin;1;Romance
19 de junio 2022 ;Combined Print & E-Book Fiction;8;UGLY LOVE;Colleen Hoover;21;Romance
19 de junio 2022 ;Combined Print & E-Book Fiction;9;NIGHTWORK;Nora Roberts;2;Romance
19 de junio 2022 ;Combined Print & E-Book Fiction;10;THE BOARDWALK BOOKSHOP; Susan Mallery;1;Romance
19 de junio 2022 ;Combined Print & E-Book Fiction;11;PEOPLE WE MEET ON VACATION;Emily Henry;28;Romance
19 de junio 2022 ;Combined Print & E-Book Fiction;12;NOVEMBER 9;Colleen Hoover;11;Romance
19 de junio 2022 ;Combined Print & E-Book Fiction;13;BEACH READ;Emily Henry;3;Romance
19 de junio 2022 ;Combined Print & E-Book Fiction;14;ALL YOUR PERFECTS;Colleen Hoover;2;Romance
19 de junio 2022 ;Combined Print & E-Book Fiction;15;MALIBU RISING;Taylor Jenkins Reid;16;Romance
19 de junio 2022 ;Combined Print & E-Book Nonfiction;1;HAPPY-GO-LUCKY;David Sedaris;2;Autobiografía
19 de junio 2022 ;Combined Print & E-Book Nonfiction;2;KILLING THE KILLERS;Bill O'Reilly and Martin Dugard;5;Historia
19 de junio 2022 ;Combined Print & E-Book Nonfiction;3;FINDING ME;Viola Davis;6;Autobiografía
19 de junio 2022 ;Combined Print & E-Book Nonfiction;4;THE BODY KEEPS THE SCORE;Bessel Van Der Kolk;93;Autoayuda
19 de junio 2022 ;Combined Print & E-Book Nonfiction;5;HERE'S THE DEAL;Kellyanne Conway;2;Política
19 de junio 2022 ;Combined Print & E-Book Nonfiction;6;THE 1619 PROJECT;Nikole Hannah-Jones;24;Historia
19 de junio 2022 ;Combined Print & E-Book Nonfiction;7;THE PALACE PAPERS;Tina Brown;6;Biografía
19 de junio 2022 ;Combined Print & E-Book Nonfiction;8;CRYING IN H MART;Michelle Zauner;36;Autobiografía
19 de junio 2022 ;Combined Print & E-Book Nonfiction;9;PHIL;Alan Shipnuck;3;Biografía
19 de junio 2022 ;Combined Print & E-Book Nonfiction;10;SECRET CITY;James Kirchick;2;Historia
19 de junio 2022 ;Combined Print & E-Book Nonfiction;11;UNDER THE BANNER OF HEAVEN;Jon Krakauer;6;Crimen
19 de junio 2022 ;Combined Print & E-Book Nonfiction;12;BRAIDING SWEETGRASS;Robin Wall Kimmerer;41;Autoayuda
19 de junio 2022 ;Combined Print & E-Book Nonfiction;13;RIVER OF THE GODS;Candice Millard;3;Historia
19 de junio 2022 ;Combined Print & E-Book Nonfiction;14;THE OFFICE BFFS;Jenna Fischer and Angela Kinsey;3;Autobiografía
19 de junio 2022 ;Combined Print & E-Book Nonfiction;15;ALL ABOUT LOVE;Bell Hooks;21;Autoayuda
26 de junio 2022 ;Combined Print & E-Book Fiction;1;IT ENDS WITH US;Colleen Hoover;52;Romance
26 de junio 2022 ;Combined Print & E-Book Fiction;2;SPARRING PARTNERS;John Grisham;2;Thriller
26 de junio 2022 ;Combined Print & E-Book Fiction;3;WHERE THE CRAWDADS SING;delia Owens;164;Thriller
26 de junio 2022 ;Combined Print & E-Book Fiction;4;VERITY;Colleen Hoover;27;Thriller
26 de junio 2022 ;Combined Print & E-Book Fiction;5;BOOK LOVERS;Emily Henry;6;Romance
26 de junio 2022 ;Combined Print & E-Book Fiction;6;THE SEVEN HUSBANDS OF EVELYN HUGO;Taylor Jenkins Reid;50;Romance
26 de junio 2022 ;Combined Print & E-Book Fiction;7;UGLY LOVE;Colleen Hoover;22;Romance
26 de junio 2022 ;Combined Print & E-Book Fiction;8;TOM CLANCY: ZERO HOUR; Don Bentley;1;Drama
26 de junio 2022 ;Combined Print & E-Book Fiction;9;THE OMEGA FACTOR;Steve Berry;1;Misterio
26 de junio 2022 ;Combined Print & E-Book Fiction;10;NOVEMBER 9;Colleen Hoover;12;Romance
26 de junio 2022 ;Combined Print & E-Book Fiction;11;PEOPLE WE MEET ON VACATION;Emily Henry;29;Romance
26 de junio 2022 ;Combined Print & E-Book Fiction;12;NIGHTWORK;Nora Roberts;3;Romance
26 de junio 2022 ;Combined Print & E-Book Fiction;13;MEANT TO BE ;Emily Giffin;2;Romance
26 de junio 2022 ;Combined Print & E-Book Fiction;14;BEACH READ;Emily Henry;4;Romance
26 de junio 2022 ;Combined Print & E-Book Fiction;15;WICKED BEAUTY;Katee Robert;1;Fantasia
26 de junio 2022 ;Combined Print & E-Book Nonfiction;1;JAMES PATTERSON;James Patterson;1;Autobiografía
26 de junio 2022 ;Combined Print & E-Book Nonfiction;2;KILLING THE KILLERS;Bill O'Reilly and Martin Dugard;6;Historia
26 de junio 2022 ;Combined Print & E-Book Nonfiction;3;HAPPY-GO-LUCKY;David Sedaris;3;Autobiografía
26 de junio 2022 ;Combined Print & E-Book Nonfiction;4;THE BODY KEEPS THE SCORE;Bessel Van Der Kolk;94;Autoayuda
26 de junio 2022 ;Combined Print & E-Book Nonfiction;5;FINDING ME;Viola Davis;7;Autobiografía
26 de junio 2022 ;Combined Print & E-Book Nonfiction;6;BATTLING THE BIG LIE;Dan Pfeiffer;1;Política
26 de junio 2022 ;Combined Print & E-Book Nonfiction;7;THE PALACE PAPERS;Tina Brown;7;Biografía
26 de junio 2022 ;Combined Print & E-Book Nonfiction;8;SCARS AND STRIPES;Tim Kennedy and Nick Palmisciano;1;Autobiografía
26 de junio 2022 ;Combined Print & E-Book Nonfiction;9;HERE'S THE DEAL;Kellyanne Conway;3;Política
26 de junio 2022 ;Combined Print & E-Book Nonfiction;10;THE POPE AT WAR;David I. Kertzer;1;Historia
26 de junio 2022 ;Combined Print & E-Book Nonfiction;11;CRYING IN H MART;Michelle Zauner;37;Autobiografía
26 de junio 2022 ;Combined Print & E-Book Nonfiction;12;GREENLIGHTS;Matthew McConaughey;63;Autobiografía
26 de junio 2022 ;Combined Print & E-Book Nonfiction;13;UNDER THE BANNER OF HEAVEN;Jon Krakauer;7;Crimen
26 de junio 2022 ;Combined Print & E-Book Nonfiction;14;RIVER OF THE GODS;Candice Millard;4;Historia
26 de junio 2022 ;Combined Print & E-Book Nonfiction;15;THE FACEMAKER; Lindsey Fitzharris;1;Medicina
3 de julio 2022;Combined Print & E-Book Fiction;1;THE HOTEL NANTUCKET;Elin Hilderbrand;1;Drama
3 de julio 2022;Combined Print & E-Book Fiction;2;IT ENDS WITH US;Colleen Hoover;53;Romance
3 de julio 2022;Combined Print & E-Book Fiction;3;VERITY;Colleen Hoover;28;Thriller
3 de julio 2022;Combined Print & E-Book Fiction;4;WHERE THE CRAWDADS SING;delia Owens;165;Thriller
3 de julio 2022;Combined Print & E-Book Fiction;5;SPARRING PARTNERS;John Grisham;3;Thriller
3 de julio 2022;Combined Print & E-Book Fiction;6;UGLY LOVE;Colleen Hoover;23;Romance
3 de julio 2022;Combined Print & E-Book Fiction;7;THE SEVEN HUSBANDS OF EVELYN HUGO;Taylor Jenkins Reid;51;Romance
3 de julio 2022;Combined Print & E-Book Fiction;8;BOOK LOVERS;Emily Henry;7;Romance
3 de julio 2022;Combined Print & E-Book Fiction;9;PEOPLE WE MEET ON VACATION;Emily Henry;30;Romance
3 de julio 2022;Combined Print & E-Book Fiction;10;NOVEMBER 9;Colleen Hoover;13;Romance
3 de julio 2022;Combined Print & E-Book Fiction;11;ALL YOUR PERFECTS;Colleen Hoover;3;Romance
3 de julio 2022;Combined Print & E-Book Fiction;12;HORSE;Geraldine Brooks;1;Drama
3 de julio 2022;Combined Print & E-Book Fiction;13;BEACH READ;Emily Henry;5;Romance
3 de julio 2022;Combined Print & E-Book Fiction;14;EVERY SUMMER AFTER;Carley Fortune;1;Romance
3 de julio 2022;Combined Print & E-Book Fiction;15;MALIBU RISING;Taylor Jenkins Reid;17;Romance
3 de julio 2022;Combined Print & E-Book Nonfiction;1;BATTLE FOR THE AMERICAN MIND; Pete Hegseth with David Goodwin;1;Ensayo
3 de julio 2022;Combined Print & E-Book Nonfiction;2;I'D LIKE TO PLAY ALONE, PLEASE; Tom Segura;1;Autobiografía
3 de julio 2022;Combined Print & E-Book Nonfiction;3;JAMES PATTERSON;James Patterson;2;Autobiografía
3 de julio 2022;Combined Print & E-Book Nonfiction;4;KILLING THE KILLERS;Bill O'Reilly and Martin Dugard;7;Historia
3 de julio 2022;Combined Print & E-Book Nonfiction;5;THE BODY KEEPS THE SCORE;Bessel Van Der Kolk;95;Autoayuda
3 de julio 2022;Combined Print & E-Book Nonfiction;6;HAPPY-GO-LUCKY;David Sedaris;4;Autobiografía
3 de julio 2022;Combined Print & E-Book Nonfiction;7;ROUGH DRAFT; Katy Tur;1;Autobiografía
3 de julio 2022;Combined Print & E-Book Nonfiction;8;RIVER OF THE GODS;Candice Millard;5;Crimen
3 de julio 2022;Combined Print & E-Book Nonfiction;9;FINDING ME;Viola Davis;8;Autobiografía
3 de julio 2022;Combined Print & E-Book Nonfiction;10;HOW TO RAISE AN ANTIRACIST;Ibram X. Kendi;1;Historia
3 de julio 2022;Combined Print & E-Book Nonfiction;11;PHIL;Alan Shipnuck;4;Biografía
3 de julio 2022;Combined Print & E-Book Nonfiction;12;THE END OF THE WORLD IS JUST THE BEGINNING;Peter Zeihan;1;Historia
3 de julio 2022;Combined Print & E-Book Nonfiction;13;GREENLIGHTS;Matthew McConaughey;64;Autobiografía
3 de julio 2022;Combined Print & E-Book Nonfiction;14;CRYING IN H MART;Michelle Zauner;38;Autobiografía
3 de julio 2022;Combined Print & E-Book Nonfiction;15;THE PALACE PAPERS;Tina Brown;8;Biografía
10 de julio 2022;Combined Print & E-Book Fiction;1;WHERE THE CRAWDADS SING;delia Owens;166;Thriller
10 de julio 2022;Combined Print & E-Book Fiction;2;IT ENDS WITH US;Colleen Hoover;54;Romance
10 de julio 2022;Combined Print & E-Book Fiction;3;VERITY;Colleen Hoover;29;Thriller
10 de julio 2022;Combined Print & E-Book Fiction;4;THE HOTEL NANTUCKET;Elin Hilderbrand;2;Drama
10 de julio 2022;Combined Print & E-Book Fiction;5;UGLY LOVE;Colleen Hoover;24;Romance
10 de julio 2022;Combined Print & E-Book Fiction;6;THE SEVEN HUSBANDS OF EVELYN HUGO;Taylor Jenkins Reid;52;Romance
10 de julio 2022;Combined Print & E-Book Fiction;7;SPARRING PARTNERS;John Grisham;4;Thriller
10 de julio 2022;Combined Print & E-Book Fiction;8;BOOK LOVERS;Emily Henry;8;Romance
10 de julio 2022;Combined Print & E-Book Fiction;9;ESCAPE;James Patterson and David Ellis;1;Thriller
10 de julio 2022;Combined Print & E-Book Fiction;10;THE HOUSE ACROSS THE LAKE ;Riley Sager;1;Drama
10 de julio 2022;Combined Print & E-Book Fiction;11;NOVEMBER 9;Colleen Hoover;14;Romance
10 de julio 2022;Combined Print & E-Book Fiction;12;PEOPLE WE MEET ON VACATION;Emily Henry;31;Romance
10 de julio 2022;Combined Print & E-Book Fiction;13;EVERY SUMMER AFTER;Carley Fortune;2;Romance
10 de julio 2022;Combined Print & E-Book Fiction;14;BEACH READ;Emily Henry;6;Romance
10 de julio 2022;Combined Print & E-Book Fiction;15;MALIBU RISING;Taylor Jenkins Reid;18;Romance
10 de julio 2022;Combined Print & E-Book Nonfiction;1;BATTLE FOR THE AMERICAN MIND;Pete Hegseth with David Goodwin;2;Ensayo
10 de julio 2022;Combined Print & E-Book Nonfiction;2;AN INMENSE WORLD;Ed Yong;1;Ciencia
10 de julio 2022;Combined Print & E-Book Nonfiction;3;THE BODY KEEPS THE SCORE;Bessel Van Der Kolk;96;Autoayuda
10 de julio 2022;Combined Print & E-Book Nonfiction;4;HAPPY-GO-LUCKY;David Sedaris;4;Autobiografía
10 de julio 2022;Combined Print & E-Book Nonfiction;5;KILLING THE KILLERS;Bill O'Reilly and Martin Dugard;8;Historia
10 de julio 2022;Combined Print & E-Book Nonfiction;6;JAMES PATTERSON;James Patterson;3;Autobiografía
10 de julio 2022;Combined Print & E-Book Nonfiction;7;FINDING ME;Viola Davis;9;Autobiografía
10 de julio 2022;Combined Print & E-Book Nonfiction;8;I'D LIKE TO PLAY ALONE, PLEASE;Tom Segura ;2;Autobiografía
10 de julio 2022;Combined Print & E-Book Nonfiction;9;RIVER OF THE GODS;Candice Millard;6;Historia
10 de julio 2022;Combined Print & E-Book Nonfiction;10;CRYING IN H MART;Michelle Zauner;39;Autoayuda
10 de julio 2022;Combined Print & E-Book Nonfiction;11;THE END OF THE WORLD IS JUST THE BEGINNING;Peter Zeihan;2;Ensayo
10 de julio 2022;Combined Print & E-Book Nonfiction;12;ROUGH DRAFT;Katy Tur;2;Autobiografía
10 de julio 2022;Combined Print & E-Book Nonfiction;13;BRAIDING SWEETGRASS;Robin Wall Kimmerer;42;Autoayuda
10 de julio 2022;Combined Print & E-Book Nonfiction;14;EDUCATED;Tara Westover ;139;Autobiografía
10 de julio 2022;Combined Print & E-Book Nonfiction;15;GREENLIGHTS;Matthew McConaughey;65;Autobiografía
17 de julio 2022;Combined Print & E-Book Fiction;1;WHERE THE CRAWDADS SING;delia Owens;167;Thriller
17 de julio 2022;Combined Print & E-Book Fiction;2;IT ENDS WITH US;Colleen Hoover;55;Romance
17 de julio 2022;Combined Print & E-Book Fiction;3;VERITY;Colleen Hoover;30;Thriller
17 de julio 2022;Combined Print & E-Book Fiction;4;UGLY LOVE;Colleen Hoover;25;Romance
17 de julio 2022;Combined Print & E-Book Fiction;5;THE HOTEL NANTUCKET;Elin Hilderbrand;3;Drama
17 de julio 2022;Combined Print & E-Book Fiction;6;THE SEVEN HUSBANDS OF EVELYN HUGO;Taylor Jenkins Reid;53;Romance
17 de julio 2022;Combined Print & E-Book Fiction;7;SUSPECTS;Danielle Steel;1;Drama
17 de julio 2022;Combined Print & E-Book Fiction;8;BOOK LOVERS;Emily Henry;9;Romance
17 de julio 2022;Combined Print & E-Book Fiction;9;NOVEMBER 9;Colleen Hoover;15;Romance
17 de julio 2022;Combined Print & E-Book Fiction;10;SPARRING PARTNERS;John Grisham;5;Thriller
17 de julio 2022;Combined Print & E-Book Fiction;11;EVERY SUMMER AFTER;Carley Fortune;3;Romance
17 de julio 2022;Combined Print & E-Book Fiction;12;PEOPLE WE MEET ON VACATION;Emily Henry;32;Romance
17 de julio 2022;Combined Print & E-Book Fiction;13;BEACH READ;Emily Henry;7;Romance
