Titulo;autor;;;likes;comentarios;views;guardados
La Segunda Venida de Hilda Bustamante;Salomé Esper;Ficción Humorística;;239.300;549;3.100.000;101.300
El Principito;Antoine de Saint-Exupéry;Literatura Infantil;;239.300;549;3.100.000;101.300
Magnolia Parks;Jessa Hastings;Romance;;239.300;549;3.100.000;101.300
Te Daría el Sol;Jandy Nelson;Ficción Contemporánea;;239.300;549;3.100.000;101.300
Divine Rivals;Rebecca Ross;Fantasía;;239.300;549;3.100.000;101.300
Archer's Voice;Mia Sheridan;Romance;;546.400;3564;8.500.000;241.300
Daisy Jones & The Six;Taylor Jenkins Reid;Ficción Histórica;;546.400;3564;8500000;241300
Happy Place;Emily Henry;Romance;;546.400;3564;8500000;241300
The Wish;Nicholas Sparks;Romance;;546.400;3564;8500000;241300
Ignite Me;Tahereh Maf;Fantasía;;546.400;3564;8500000;241300
The Seven Years Slip;Ashley Poston;Romance;;546.400;3564;8500000;241300
Better Than The Movies;Lynn Painter;Romance;;546.400;1776;6.100.000;139.100
Once Upon A Broken Heart;Stephanie Garber;Fantasía;;546.400;1776;6.100.000;139.100
It Happened One Summer;Tessa Bailey;Romance;;451.600;1776;6.100.000;139.100
Addicted To You;Krista & Becca Ritchie;Romance;;451.600;1776;6.100.000;139.100
A Court Of Thorns And Roses;Sarah J. Mass;Fantasía;;451.600;1776;6.100.000;139.100
Love And Other Words;Christina Lauren;Romance;;451.600;1776;6.100.000;139.100
Tress of the Emerald Sea;Brandon Sanderson;Fantasía;;451.600;1776;6.100.000;139.100
Magnolia Parks;Jessa Hastings;Romance;;451.600;1776;6.100.000;139.100
Powerless;Lauren Roberts;Fantasía;;1.600.000;4115;11.200.000;524.000
Let That Shit Go;Nina Purewal and Kate Petriw;Autoayuda;;1.600.000;4115;11200000;524000
Everything I Know About Love;Dolly Alderton;Autobiografía;;1.600.000;4115;11200000;524000
Love And Other Words;Christina Lauren ;Romance;;1.600.000;4115;11200000;524000
A Court Of Thorns And Roses;Sarah J. Mass;Fantasía;;1.600.000;4115;11200000;524000
Cleopatra and Frankenstein;Coco Mellors;Ficción Contemporánea;;1.600.000;4115;11200000;524000
Once Upon A Broken Heart;Stephanie Garber;Fantasía;;1.600.000;4115;11200000;524000
The Things We Leave Unfinished;Rebecca Yarros;Romance;;1.600.000;4115;11200000;524000
Shatter Me;Tahereh Maf;Fantasía;;1.600.000;4115;11200000;524000
Daisy Jones & The Six;Taylor Jenkins Reid;Ficción Histórica;;1.600.000;4115;11200000;524000
If He Had Been With Me;Laura Nowlin;Romance;;1.600.000;4115;11200000;524000
Twisted Love;Ana Huang;Romance;;1.600.000;4115;11200000;524000
Fourth Wing;Rebecca Yarros;Fantasía;;1.600.000;4115;11200000;524000
